Date,Price,Open,High,Low,Volume,Change(%)
17 Mar 2020,878,880,887.85,850,315359,0.94%
16 Mar 2020,869.85,905,909.95,854.1,637576,-7.37%
13 Mar 2020,939.1,840,971.85,780.55,815750,3.17%
12 Mar 2020,910.25,948,951.2,901.25,919508,-6.69%
11 Mar 2020,975.5,958.2,992.45,958.2,615990,1.29%
09 Mar 2020,963.1,980,985,946,440639,-3.59%
06 Mar 2020,999,952,1007.7,952,468282,-2.45%
05 Mar 2020,1024.05,1027.6,1034.05,1010,494916,0.77%
04 Mar 2020,1016.25,1037,1049.45,984,777129,-1.67%
03 Mar 2020,1033.5,1010,1069,1010,1896743,3.30%
02 Mar 2020,1000.45,1020,1032.6,993,577674,-0.48%
28 Feb 2020,1005.3,1049,1049,995,1230192,-5.34%
27 Feb 2020,1062.05,1082,1088.8,1051.75,570114,-1.24%
26 Feb 2020,1075.35,1094,1107,1071.1,636854,-2.20%
25 Feb 2020,1099.55,1101.9,1109.9,1080.2,771325,-0.18%
24 Feb 2020,1101.5,1119,1132.85,1095.8,636816,-2.31%
20 Feb 2020,1127.6,1148,1153,1123.15,731297,-0.89%
19 Feb 2020,1137.75,1150.9,1164.4,1121.95,801261,-0.02%
18 Feb 2020,1138,1134,1174,1117.35,1526981,0.34%
17 Feb 2020,1134.2,1167,1168,1130,799669,-2.30%
14 Feb 2020,1160.95,1185,1194.45,1157,868857,-2.53%
13 Feb 2020,1191.1,1223.95,1234.4,1171.9,2146732,-2.71%
12 Feb 2020,1224.3,1189,1233.8,1175.1,1448109,4.27%
11 Feb 2020,1174.15,1203.5,1204.4,1168.75,688930,-1.78%
10 Feb 2020,1195.45,1175,1212,1155,1219428,-0.25%
07 Feb 2020,1198.5,1198.25,1214.9,1182.55,925426,0.64%
06 Feb 2020,1190.9,1200,1213.9,1183.85,565554,-0.06%
05 Feb 2020,1191.65,1205,1214.25,1186.15,438451,-0.68%
04 Feb 2020,1199.85,1170,1209.9,1170,889718,2.99%
03 Feb 2020,1165.05,1161,1178.9,1151.2,551834,0.22%
01 Feb 2020,1162.55,1174.7,1211.55,1143.95,1442426,-0.94%
31 Jan 2020,1173.55,1239.9,1242.35,1170,1351299,-5.12%
30 Jan 2020,1236.9,1227,1246.2,1208.15,1068514,0.85%
29 Jan 2020,1226.45,1237,1245,1220,1126829,-0.19%
28 Jan 2020,1228.8,1179,1241,1179,1751440,3.63%
27 Jan 2020,1185.75,1180.95,1206.65,1178,968841,0.36%
24 Jan 2020,1181.55,1181.95,1198,1175.1,1018094,0.15%
23 Jan 2020,1179.75,1143,1183.9,1136.15,1923129,3.43%
22 Jan 2020,1140.65,1160,1165,1131.35,907437,-0.49%
21 Jan 2020,1146.3,1125,1161,1125,1018999,1.02%
20 Jan 2020,1134.7,1141,1169.9,1131.15,1483104,-0.20%
17 Jan 2020,1136.95,1124,1172.95,1110.7,2530053,1.00%
16 Jan 2020,1125.65,1102,1148,1094,3794668,2.24%
15 Jan 2020,1101,1019.95,1110.65,1018.5,4483234,8.55%
14 Jan 2020,1014.3,1007,1024,1006.6,598095,0.92%
13 Jan 2020,1005.05,1006,1014,1001.2,334029,-0.05%
10 Jan 2020,1005.6,1029,1029,999,798825,-2.26%
09 Jan 2020,1028.9,1039.95,1042,1023.65,456854,-0.49%
08 Jan 2020,1033.95,1044.9,1044.9,1027.05,839540,-0.65%
07 Jan 2020,1040.75,1052,1063.8,1036.15,416576,-0.84%
